Map4,11x7,,,,,,,,,
,,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,,,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,B,K|R,R,R,W~(2.0_0.0_0.0)~134.99|R,,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,O|R,R,R,W~(2.0_0.0_0.0)~134.99|R,,,
,,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,,,,
,,,,,,,,,,     
