Map5,12x8,,,,,,,,,
,E,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,E,,
,W~(-2.0_0.0_0.0)~224.99|R|R,E,R,R,R,R,E,W~(2.0_0.0_0.0)~134.99|R,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,O|R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R|T,R,R,R|M,R,W~(2.0_0.0_0.0)~134.99|R,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,
,W~(-2.0_0.0_0.0)~224.99|R|R,E,R,R,R,R,E,W~(2.0_0.0_0.0)~134.99|R,,
,E,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,E,,     
