Map6,10x8,,,,,,,,,
,W~(-1.0_1.5_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(1.0_1.5_0.0)~134.99|R,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R|L,R,R,R,R,R|L,W~(2.0_0.0_0.0)~134.99|R,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,O|R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R,R,R,R,R,R,W~(2.0_0.0_0.0)~134.99|R,,
,W~(-2.0_0.0_0.0)~224.99|R|R,R|L,R,R,R,R,R|L,W~(2.0_0.0_0.0)~134.99|R,,
,W~(-1.0_-1.5.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(1.0_-1.5_0.0)~44.99|R,,
,,,,,,,,,,
,,,,,,,,,,     
