DebugMap0,10x18,,,,,,,,,
,,,,,,,,,,
,,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,W~(0.0_2.0_0.0)~224.99|R,
,W~270|R,R,R,R,R,R,R,LC|R,R,W~270|R
,W~270|R,SH|R,SH|R,R,R,R,R,R,R,W~270|R
,W~270|R,R,D|R,R,R,B|R,R,R,R,W~270|R
,W~270|R,R,R,R,R,R,R,R,CP|R,W~270|R
,W~270|R,R,R,R,R,R,R,R,R,W~270|R
,W~270|R,R,R,R,R,R,R,R,FL|R,W~270|R
,W~270|R,R,R,R,R,R,R,R,R,W~270|R
,W~270|R,LM|R,L,R,R,R,R,R,R,W~270|R
,W~270|R,R,R,R,R,R,R,R,K|R,W~270|R
,W~270|R,R,R,R,R,R,R,R,M,W~270|R
,W~270|R,BA|R,R,R,R,R,BE|R,R,R,W~270|R
,W~270|R,P,R,R,R,R,R,R,MB|R,W~270|R
,W~270|R,R,R,R,R,O|R,R,R,WB|R,W~270|R
,W~270|R,R,T|R,R,R,R,R,R,R,W~270|R
,W~270|R,R,R,R,R,R,R,R,R,W~270|R
,W~270|R,S|R,S|R,S|R,R,R,R,C|R,E|R,W~270|R
,,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,W~(0.0_-2.0_0.0)~314.99|R,
